season,week,celebrity_name,total_judge_score,avg_judge_score,ballroom_partner,celebrity_age_during_season,results,placement,ind_Actor/Actress,ind_Astronaut,ind_Athlete,ind_Beauty Pagent,ind_Comedian,ind_Con artist,ind_Conservationist,ind_Entrepreneur,ind_Fashion Designer,ind_Fitness Instructor,ind_Journalist,ind_Magician,ind_Military,ind_Model,ind_Motivational Speaker,ind_Musician,ind_News Anchor,ind_Politician,ind_Producer,ind_Racing Driver,ind_Radio Personality,ind_Singer/Rapper,ind_Social Media Personality,ind_Social media personality,ind_Sports Broadcaster,ind_TV Personality,age_scaled,cum_weeks,season_progress,week_total_score,judge_percent,judge_rank,judge_score_rel,cum_judge_total,avg_judge_upto_now,competitors_count,partner_avg_placement,ballroom_partner_encoded,is_eliminated,fan_target,current_pred,fan_vote_est_mean,fan_vote_est_std,certainty,fan_vote_normalized,mean,std,cv,ci95_low,ci95_high,mean_norm,p_top1,p_top3,p_bottom2
1,1,Evander Holyfield,18.0,6.0,Edyta Sliwinska,42,Eliminated Week 3,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.411764705882353,1,0.1666666666666666,109.0,0.1651376146788991,4.0,-0.1666666666666678,18.0,18.0,6,5.379310344827586,0,False,0.1666666666666666,0.1634970060667946,0.1612144370330863,0.0241404890114635,41.42246567828329,0.1653333507673911,0.1612144370330863,0.0241404890114635,0.14974148380091487,0.11389907857061785,0.20852979549555475,0.1653333507673911,0.168,0.433,0.383
1,1,Joey McIntyre,20.0,6.666666666666667,Ashly DelGrosso,32,3rd Place,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2647058823529412,1,0.1666666666666666,109.0,0.1834862385321101,1.0,1.833333333333332,20.0,20.0,6,6.666666666666667,1,False,0.1666666666666666,0.1679898882677214,0.17095162753917,0.017528482210865,57.046750609677844,0.1753193195370544,0.17095162753917,0.017528482210865,0.102534748941473,0.1365958024058746,0.20530745267246542,0.1753193195370544,0.235,0.672,0.159
1,1,John O'Hurley,20.0,6.666666666666667,Charlotte Jorgensen,50,2nd Place,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5294117647058822,1,0.1666666666666666,109.0,0.1834862385321101,1.0,1.833333333333332,20.0,20.0,6,2.0,2,False,0.1666666666666666,0.1686761347080964,0.1669155960499053,0.0174699920534758,57.23773423622232,0.1711801703255858,0.1669155960499053,0.0174699920534758,0.1046636292048619,0.13267441162509275,0.20115678047471786,0.17118017032558588,0.164,0.566,0.225
1,1,Kelly Monaco,13.0,4.333333333333333,Alec Mazo,29,1st Place,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2205882352941176,1,0.1666666666666666,109.0,0.1192660550458715,6.0,-5.166666666666668,13.0,13.0,6,6.842105263157895,3,False,0.1666666666666666,0.1621741611817479,0.14946170014469,0.0316519301871894,31.59265174144038,0.1532803398447571,0.14946170014469,0.0316519301871894,0.21177284987758055,0.0874239169777988,0.21149948331158122,0.1532803398447571,0.116,0.295,0.605
1,1,Rachel Hunter,20.0,6.666666666666667,Jonathan Roberts,35,Eliminated Week 4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.3088235294117646,1,0.1666666666666666,109.0,0.1834862385321101,1.0,1.833333333333332,20.0,20.0,6,6.25,4,False,0.1666666666666666,0.1674345774228845,0.1713017244844051,0.0134608217860725,74.28415082976306,0.1756783612092171,0.1713017244844051,0.0134608217860725,0.07857960465131185,0.144918513783703,0.19768493518510719,0.17567836120921718,0.186,0.678,0.123
1,1,Trista Sutter,18.0,6.0,Louis van Amstel,32,Eliminated Week 2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2647058823529412,1,0.1666666666666666,109.0,0.1651376146788991,4.0,-0.1666666666666678,18.0,18.0,6,6.123076923076923,5,False,0.1666666666666666,0.1582753228471884,0.1552421326924495,0.0261494425887494,38.24027056544833,0.1592084583159944,0.1552421326924495,0.0261494425887494,0.1684429486713772,0.10398922521850068,0.2064950401663983,0.15920845831599442,0.131,0.356,0.505
1,2,Evander Holyfield,14.0,4.666666666666667,Edyta Sliwinska,42,Eliminated Week 3,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.411764705882353,2,0.3333333333333333,121.0,0.1157024793388429,6.0,-6.166666666666668,32.0,16.0,6,5.379310344827586,0,False,0.1999999999999999,0.1915760698847067,0.1577989608219764,0.0473733579384902,21.108465497271276,0.1577231073152309,0.1577989608219764,0.0473733579384902,0.300213370808793,0.0649471792625356,0.25065074238141716,0.1577231073152309,0.09,0.26,0.467
1,2,Joey McIntyre,21.0,7.0,Ashly DelGrosso,32,3rd Place,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2647058823529412,2,0.3333333333333333,121.0,0.1735537190082644,3.0,0.8333333333333321,41.0,20.5,6,6.666666666666667,1,False,0.1999999999999999,0.1991100400057543,0.1937457078270966,0.0169415397962065,59.023027953807954,0.1936525748224239,0.1937457078270966,0.0169415397962065,0.08744214251871604,0.16054028982653187,0.22695112582766133,0.19365257482242396,0.088,0.664,0.088
1,2,John O'Hurley,26.0,8.666666666666666,Charlotte Jorgensen,50,2nd Place,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5294117647058822,2,0.3333333333333333,121.0,0.2148760330578512,1.0,5.833333333333332,46.0,23.0,6,2.0,2,False,0.1999999999999999,0.2037978822149339,0.2150114596832222,0.0229782584861073,43.51750517122106,0.214908104292778,0.2150114596832222,0.0229782584861073,0.10686992460755963,0.16997407305045187,0.2600488463159925,0.21490810429277804,0.45,0.9,0.021
1,2,Kelly Monaco,17.0,5.666666666666667,Alec Mazo,29,1st Place,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2205882352941176,2,0.3333333333333333,121.0,0.140495867768595,5.0,-3.166666666666668,30.0,15.0,6,6.842105263157895,3,False,0.1999999999999999,0.1835737574837095,0.157104381625098,0.0614228117357614,16.280331222391276,0.1570288620005753,0.157104381625098,0.0614228117357614,0.3909681646075037,0.03671567062300565,0.27749309262719035,0.1570288620005753,0.139,0.313,0.491
