season,week,celebrity_name,total_judge_score,avg_judge_score,ballroom_partner,celebrity_age_during_season,results,placement,ind_Actor/Actress,ind_Astronaut,ind_Athlete,ind_Beauty Pagent,ind_Comedian,ind_Con artist,ind_Conservationist,ind_Entrepreneur,ind_Fashion Designer,ind_Fitness Instructor,ind_Journalist,ind_Magician,ind_Military,ind_Model,ind_Motivational Speaker,ind_Musician,ind_News Anchor,ind_Politician,ind_Producer,ind_Racing Driver,ind_Radio Personality,ind_Singer/Rapper,ind_Social Media Personality,ind_Social media personality,ind_Sports Broadcaster,ind_TV Personality,age_scaled,cum_weeks,season_progress
1,1,Evander Holyfield,18.0,6.0,Edyta Sliwinska,42,Eliminated Week 3,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.411764705882353,1,0.16666666666666666
1,1,Joey McIntyre,20.0,6.666666666666667,Ashly DelGrosso,32,3rd Place,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2647058823529412,1,0.16666666666666666
1,1,John O'Hurley,20.0,6.666666666666667,Charlotte Jorgensen,50,2nd Place,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5294117647058822,1,0.16666666666666666
1,1,Kelly Monaco,13.0,4.333333333333333,Alec Mazo,29,1st Place,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22058823529411764,1,0.16666666666666666
1,1,Rachel Hunter,20.0,6.666666666666667,Jonathan Roberts,35,Eliminated Week 4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.30882352941176466,1,0.16666666666666666
1,1,Trista Sutter,18.0,6.0,Louis van Amstel,32,Eliminated Week 2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2647058823529412,1,0.16666666666666666
1,2,Evander Holyfield,14.0,4.666666666666667,Edyta Sliwinska,42,Eliminated Week 3,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.411764705882353,2,0.3333333333333333
1,2,Joey McIntyre,21.0,7.0,Ashly DelGrosso,32,3rd Place,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.2647058823529412,2,0.3333333333333333
1,2,John O'Hurley,26.0,8.666666666666666,Charlotte Jorgensen,50,2nd Place,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5294117647058822,2,0.3333333333333333
1,2,Kelly Monaco,17.0,5.666666666666667,Alec Mazo,29,1st Place,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22058823529411764,2,0.3333333333333333
1,2,Rachel Hunter,24.0,8.0,Jonathan Roberts,35,Eliminated Week 4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.30882352941176466,2,0.3333333333333333
1,2,Trista Sutter,19.0,6.333333333333333,Louis van Amstel,32,Eliminated Week 2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2647058823529412,2,0.3333333333333333
1,3,Evander Holyfield,13.0,4.333333333333333,Edyta Sliwinska,42,Eliminated Week 3,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.411764705882353,3,0.5
