season,week,celebrity_name,fan_vote_normalized,fan_vote_est_std,certainty
1,1,Rachel Hunter,0.1756783612092171,0.0134608217860725,74.28415082976254
1,1,Joey McIntyre,0.1753193195370544,0.017528482210865,57.04675060967776
1,1,John O'Hurley,0.1711801703255858,0.0174699920534758,57.237734236222266
1,1,Evander Holyfield,0.1653333507673911,0.0241404890114635,41.42246567828314
1,1,Trista Sutter,0.1592084583159944,0.0261494425887494,38.24027056544819
1,1,Kelly Monaco,0.1532803398447571,0.0316519301871894,31.59265174144029
1,2,John O'Hurley,0.214908104292778,0.0229782584861073,43.51750517122103
1,2,Rachel Hunter,0.2053484996538339,0.0185297690021578,53.96430120539274
1,2,Joey McIntyre,0.1936525748224239,0.0169415397962065,59.02302795380776
1,2,Evander Holyfield,0.1577231073152309,0.0473733579384902,21.108465497271265
1,2,Kelly Monaco,0.1570288620005753,0.0614228117357614,16.280331222391258
1,2,Trista Sutter,0.0713388519151578,0.068532429500755,14.591419213728136
1,3,John O'Hurley,0.2449390314730814,0.025187939347894,39.69996458320927
1,3,Joey McIntyre,0.2394559580249723,0.0350122840944533,28.56058852698184
1,3,Kelly Monaco,0.2388576589042182,0.0239874093626166,41.68679902379818
1,3,Rachel Hunter,0.2114480669497978,0.0677951387077739,14.750102573103224
1,3,Evander Holyfield,0.06529928464793,0.0641341477466747,15.59207447295306
1,4,John O'Hurley,0.309085072953414,0.0612419734989341,16.328403780352104
1,4,Kelly Monaco,0.3020758686792043,0.0888756165294788,11.25155343496135
1,4,Joey McIntyre,0.292426843684034,0.0900170291396778,11.108885737193097
1,4,Rachel Hunter,0.0964122146833476,0.1405764187423592,7.113518009835793
1,5,Joey McIntyre,0.3346344772352546,0.0176490057806761,56.65720523983257
1,5,Kelly Monaco,0.334386036828157,0.0170931376691535,58.49958736464975
1,5,John O'Hurley,0.3309794859365884,0.025176038179188,39.71873072928109
1,6,Kelly Monaco,0.5000564936186466,0.0313431436833494,31.90388641981687
1,6,John O'Hurley,0.4999435063813534,0.036878895796992,27.115044074543217
2,1,Stacy Keibler,0.1161175787958153,0.0030029533074187,332.89465503019903
2,1,Drew Lachey,0.1156441036811376,0.003087212624129,323.8119008343923
2,1,Jerry Rice,0.115555585059382,0.0026624536845748,375.4523706537207
2,1,Giselle Fernandez,0.1136577411355109,0.0075355950576325,132.68591351306227
2,1,Lisa Rinna,0.1131732573194041,0.0052661773584688,189.8550080893213
2,1,Tia Carrere,0.110393173803306,0.0064636226708291,154.68806934585527
2,1,George Hamilton,0.107477513992605,0.0093157199444175,107.33391214567814
