season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_age_during_season,results,placement,eliminated_week_num,total_judge_score,judge_count,is_eliminated,max_week,is_final
1,1,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,20.0,3,False,4,False
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,18.0,3,False,4,False
1,1,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated Week 2,6,2.0,18.0,3,False,4,False
1,2,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,24.0,3,False,4,False
1,2,Trista Sutter,Louis van Amstel,TV Personality,32,Eliminated Week 2,6,2.0,19.0,3,True,4,False
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,14.0,3,False,4,False
1,3,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,26.0,3,False,4,False
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,42,Eliminated Week 3,5,3.0,13.0,3,True,4,False
1,4,Rachel Hunter,Jonathan Roberts,Model,35,Eliminated Week 4,4,4.0,25.0,3,True,4,True
2,1,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,23.0,3,False,7,False
2,1,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,23.0,3,False,7,False
2,1,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,20.0,3,False,7,False
2,1,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,19.0,3,False,7,False
2,1,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,18.0,3,False,7,False
2,1,Kenny Mayne,Andrea Hale,Sports Broadcaster,46,Eliminated Week 1,10,1.0,13.0,3,True,7,False
2,1,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,12.0,3,False,7,False
2,2,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,24.0,3,False,7,False
2,2,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,22.0,3,False,7,False
2,2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,22.0,3,False,7,False
2,2,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,20.0,3,False,7,False
2,2,Tatum O'Neal,Nick Kosovich,Actor/Actress,42,Eliminated Week 2,9,2.0,17.0,3,True,7,False
2,2,Master P,Ashly DelGrosso,Singer/Rapper,35,Eliminated Week 4,7,4.0,16.0,3,False,7,False
2,3,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,39,Eliminated Week 5,6,5.0,26.0,3,False,7,False
2,3,Lisa Rinna,Louis van Amstel,Actor/Actress,42,Eliminated Week 7,4,7.0,25.0,3,False,7,False
2,3,George Hamilton,Edyta Sliwinska,Actor/Actress,66,Eliminated Week 6,5,6.0,22.0,3,False,7,False
2,3,Giselle Fernandez,Jonathan Roberts,News Anchor,44,Eliminated Week 3,8,3.0,22.0,3,True,7,False
